Subject,Style,Jump Height (Flight)
1,SF,0.3816797213250001
1,SS,0.4354348733
1,ST,0.35480950032499997
2,SF,0.21315857023125
2,SS,0.24933530208125
2,ST,0.19711489083125006
3,SF,0.44868488328125
3,SS,0.450169364925
3,ST,0.360105091325
4,SF,0.38442068
4,SS,0.3654399089250001
4,ST,0.26505536203125
5,SF,0.25155160498125
5,SS,0.25825935358125
5,ST,0.15361626892499994
6,SF,0.313856929925
6,SS,0.33146477
6,ST,0.24933530208125
7,SF,0.299146954925
7,SS,0.2871583253
7,ST,0.2777439413
8,SF,0.36143511823124996
8,SS,0.3789485693000001
8,ST,0.22771163883124995
9,SF,0.22350458598125
9,SS,0.25155160498125
9,ST,0.23732093
10,SF,0.34824517398125004
10,SS,0.35349173173125004
10,ST,0.28834615578124995
11,SF,0.33019113133125
11,SS,0.32765120898125
11,ST,0.226656198125
12,SF,0.37351568520000006
12,SS,0.32009028183125
12,ST,0.2504422277
13,SF,0.36410252703125
13,SS,0.35349173173125004
13,ST,0.34955313592500004
14,SF,0.34303784283125
14,SS,0.31758958608125
14,ST,0.3015741008
15,SF,0.33786973828125
15,SS,0.334019402325
15,ST,0.25825935358125
16,SF,0.37351568520000006
16,SS,0.3654399089250001
16,ST,0.26278021923125
17,SF,0.26734031148125004
17,SS,0.313856929925
17,ST,0.16331136828124998
18,SF,0.28953643792499995
18,SS,0.26051488308125
18,ST,0.257135266325
19,SF,0.462133477925
19,SS,0.50997644578125
19,ST,0.28125594783125
20,SF,0.37351568520000006
20,SS,0.3830489748312501
20,ST,0.2416554693
21,SF,0.474254497325
21,SS,0.43836215832500003
21,ST,0.3816797213250001
22,SF,0.31509869698125004
22,SS,0.3667797424812501
22,ST,0.32009028183125
23,SF,0.28243152
23,SS,0.3113807508
23,ST,0.2593858925
24,SF,0.37487022873125
24,SS,0.34563660508125
24,ST,0.35349173173125004
25,SF,0.26734031148125004
25,SS,0.26734031148125004
25,ST,0.30279135123125
26,SF,0.299146954925
26,SS,0.2919243572
26,ST,0.2330256173
